trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.25, 'e': 0.8521437889662113}",20,0,-78.0127588480788,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.25, 'e': 0.8500160902253981}",20,0,-147.35212391721058,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.25, 'e': 0.8478937040879159}",20,0,-161.61736527836314,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
67,False,"{'a': 0.25, 'e': 0.8457766172888441}",20,0,-15.728718546798877,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.25, 'e': 0.8436648165963837}",20,0,-48.8708573853598,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.25, 'e': 0.8415582888117732}",25,0,-169.15229949644166,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
70,False,"{'a': 0.25, 'e': 0.8394570207692074}",20,0,-91.07283900479516,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.25, 'e': 0.8373609993357539}",20,10,-36.809044914430785,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.25, 'e': 0.835270211411272}",20,0,-62.86450407548711,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.25, 'e': 0.8331846439283305}",25,0,-138.16205181029952,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
74,False,"{'a': 0.25, 'e': 0.8311042838521256}",20,0,-66.6677296819424,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
75,False,"{'a': 0.25, 'e': 0.8290291181804004}",25,13,-123.11947836522268,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 3}",1
76,False,"{'a': 0.25, 'e': 0.8269591339433623}",25,0,-121.70405806930226,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.25, 'e': 0.8248943182036034}",20,0,-113.65961819818455,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.25, 'e': 0.8228346580560184}",20,0,-129.46017368943592,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
79,False,"{'a': 0.25, 'e': 0.8207801406277248}",20,0,-90.75740226534344,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
80,False,"{'a': 0.25, 'e': 0.8187307530779818}",30,9,-108.32202038416891,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
81,False,"{'a': 0.25, 'e': 0.8166864825981108}",25,0,-18.14502237443326,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.25, 'e': 0.8146473164114145}",30,0,-146.0686667570198,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
83,False,"{'a': 0.25, 'e': 0.8126132417730977}",25,0,-97.86971119273979,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
84,False,"{'a': 0.25, 'e': 0.8105842459701871}",30,0,-174.7505349891709,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
85,False,"{'a': 0.25, 'e': 0.8085603163214524}",25,0,-42.492854989195486,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
86,False,"{'a': 0.25, 'e': 0.8065414401773269}",20,12,1.517994344710333,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.25, 'e': 0.8045276049198279}",20,0,-87.80278140864007,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
88,False,"{'a': 0.25, 'e': 0.8025187979624785}",20,0,-65.71225757789686,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.25, 'e': 0.8005150067502288}",20,0,-107.87231136228989,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.25, 'e': 0.7985162187593771}",25,0,-40.83333507621974,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
91,False,"{'a': 0.25, 'e': 0.7965224214974919}",25,3,-140.7982771595662,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 3}",1
92,False,"{'a': 0.25, 'e': 0.794533602503334}",25,0,-99.91543116039561,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
93,False,"{'a': 0.25, 'e': 0.7925497493467781}",20,0,-107.20189063322375,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
94,False,"{'a': 0.25, 'e': 0.7905708496287356}",30,9,-102.24154911911826,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
95,False,"{'a': 0.25, 'e': 0.7885968909810767}",25,0,-72.33311252338397,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.25, 'e': 0.7866278610665535}",25,0,-107.81165400357109,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
97,False,"{'a': 0.25, 'e': 0.7846637475787225}",20,0,-124.40443238146531,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
98,False,"{'a': 0.25, 'e': 0.7827045382418681}",30,0,-124.44871763574774,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
99,False,"{'a': 0.25, 'e': 0.7807502208109257}",25,0,-96.13984640517667,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.25, 'e': 0.7788007830714049}",20,0,-156.7450163566607,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
101,False,"{'a': 0.25, 'e': 0.7768562128393134}",20,12,7.341532442494505,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.25, 'e': 0.774916497961081}",35,0,-156.86437142192398,"{0: 24, 1: 0, 2: 7, 3: 2, 4: 2}",0
103,False,"{'a': 0.25, 'e': 0.7729816263134832}",30,3,-54.66982837890105,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 0}",1
104,False,"{'a': 0.25, 'e': 0.7710515858035663}",25,0,-162.29749226918221,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
105,False,"{'a': 0.25, 'e': 0.7691263643685705}",20,0,-116.8459806602927,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
106,False,"{'a': 0.25, 'e': 0.7672059499758557}",20,13,-0.7070373898385682,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.25, 'e': 0.7652903306228257}",25,4,-70.7402264773958,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 0}",1
108,False,"{'a': 0.25, 'e': 0.7633794943368531}",20,0,-82.44182053919373,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.25, 'e': 0.7614734291752052}",30,0,-139.37878821139316,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 4}",0
110,False,"{'a': 0.25, 'e': 0.7595721232249685}",20,0,-26.496839630529493,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
111,False,"{'a': 0.25, 'e': 0.7576755646029744}",20,0,-93.41005877859249,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
112,False,"{'a': 0.25, 'e': 0.7557837414557255}",30,0,-126.22395561064587,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.25, 'e': 0.7538966419593208}",25,0,-72.87658548170926,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
114,False,"{'a': 0.25, 'e': 0.7520142543193826}",20,9,-16.93509162073037,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.25, 'e': 0.7501365667709818}",35,0,-46.56972169671673,"{0: 25, 1: 5, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.25, 'e': 0.7482635675785653}",30,6,-47.39197244086091,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 0}",1
117,False,"{'a': 0.25, 'e': 0.7463952450358817}",30,0,-128.9175853147004,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
118,False,"{'a': 0.25, 'e': 0.7445315874659094}",25,0,-147.0773388521082,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
119,False,"{'a': 0.25, 'e': 0.7426725832207823}",20,3,-1.7817270034211772,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.25, 'e': 0.7408182206817179}",20,0,-43.124707084928964,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
121,False,"{'a': 0.25, 'e': 0.7389684882589442}",20,0,-21.57229825029821,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.25, 'e': 0.7371233743916278}",25,0,-30.758629761458906,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.25, 'e': 0.7352828675478007}",20,1,-30.208785051829594,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
124,False,"{'a': 0.25, 'e': 0.7334469562242892}",20,0,-101.53578022474971,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
125,False,"{'a': 0.25, 'e': 0.7316156289466418}",25,0,-182.02826236985672,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
126,False,"{'a': 0.25, 'e': 0.7297888742690568}",20,0,-68.05135449831192,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.25, 'e': 0.7279666807743116}",20,0,-81.17359168563172,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
128,False,"{'a': 0.25, 'e': 0.7261490370736909}",25,0,-179.53537758861054,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
129,False,"{'a': 0.25, 'e': 0.7243359318069157}",20,0,-76.6336492153951,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
130,False,"{'a': 0.25, 'e': 0.7225273536420722}",25,2,-33.351311361467786,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
131,False,"{'a': 0.25, 'e': 0.7207232912755409}",20,0,-59.13335211633475,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
132,False,"{'a': 0.25, 'e': 0.7189237334319262}",25,0,-75.15641522125844,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
133,False,"{'a': 0.25, 'e': 0.7171286688639856}",20,0,-69.60879518114578,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
134,False,"{'a': 0.25, 'e': 0.7153380863525599}",20,1,-154.33204991642185,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 3}",1
135,False,"{'a': 0.25, 'e': 0.7135519747065024}",25,15,-2.915344577840871,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.25, 'e': 0.7117703227626097}",30,0,-146.0362623828018,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
